"account_status","loan_duration_mths","credit_history","loan_purpose","credit_amount","savings","employment_duration","installment_rate","marital_status","other_debtors","residence_since","property","age_yrs","other_installment_plans","housing","existing_credits","occupation","people_liable","telephone","foreign_worker","target","target_bad"
"No checking account",15,"Existing credits paid back duly till now","Radio / television",1979,"Unknown / no savings account",">= 7 years","< 20%","Male single","None","1 to < 4 years","Car or other property",35,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",6,"Existing credits paid back duly till now","Furniture / equipment",2116,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Real estate",41,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",9,"All credits at this bank paid back duly","Car (new)",1437,"100 to < 500 DM","4 to < 7 years","25% to < 35%","Male single","None","4 to < 7 years","Unknown / no property",29,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",42,"Critical account / other credits existing","Furniture / equipment",4042,"500 to < 1000 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Real estate",36,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",9,"Existing credits paid back duly till now","Education",3832,"Unknown / no savings account",">= 7 years",">= 35% of disposable income","Male single","None",">= 7 years","Real estate",64,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Radio / television",3660,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",28,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",18,"All credits at this bank paid back duly","Furniture / equipment",1553,"< 100 DM","1 to < 4 years","< 20%","Male single","None","4 to < 7 years","Car or other property",44,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",15,"Existing credits paid back duly till now","Radio / television",1444,"Unknown / no savings account","< 1 year","< 20%","Male single","None","< 1 year","Building society savings / life insurance",23,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",9,"Existing credits paid back duly till now","Furniture / equipment",1980,"< 100 DM","< 1 year","25% to < 35%","Female divorced/separated/married","Co-applicant","1 to < 4 years","Car or other property",19,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",24,"Existing credits paid back duly till now","Car (new)",1355,"< 100 DM","< 1 year","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Car or other property",25,"None","Own","1","Unskilled resident","0 to 2","Yes","Yes","Bad",1
"No checking account",12,"Existing credits paid back duly till now","Education",1393,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",47,"Bank","Own","4 to 5","Skilled employee / official","3 or more","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Radio / television",1376,"500 to < 1000 DM","4 to < 7 years","< 20%","Female divorced/separated/married","None","< 1 year","Car or other property",28,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",60,"Delay in paying off in the past","Radio / television",15653,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None",">= 7 years","Car or other property",21,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Radio / television",1493,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","4 to < 7 years","Car or other property",34,"None","Own","1","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",42,"Delay in paying off in the past","Radio / television",4370,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None","1 to < 4 years","Building society savings / life insurance",26,"Bank","Own","2 to 3","Skilled employee / official","3 or more","Yes","Yes","Bad",1
"< 0 DM",18,"Existing credits paid back duly till now","Education",750,"< 100 DM","Unemployed","< 20%","Female divorced/separated/married","None","< 1 year","Real estate",27,"None","Own","1","Unemployed / unskilled non-resident","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",15,"Existing credits paid back duly till now","Repairs",1308,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",38,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",15,"Existing credits paid back duly till now","Education",4623,"100 to < 500 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Building society savings / life insurance",40,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"No checking account",24,"Critical account / other credits existing","Radio / television",1851,"< 100 DM","4 to < 7 years","< 20%","Male married/widowed","Guarantor","1 to < 4 years","Car or other property",33,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",18,"Critical account / other credits existing","Radio / television",1880,"< 100 DM","4 to < 7 years","< 20%","Male married/widowed","None","< 1 year","Building society savings / life insurance",32,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",36,"Delay in paying off in the past","Business",7980,"Unknown / no savings account","< 1 year","< 20%","Male single","None",">= 7 years","Car or other property",27,"None","Rent","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"< 0 DM",30,"No credits taken / all credits paid back duly","Furniture / equipment",4583,"< 100 DM","1 to < 4 years","25% to < 35%","Male divorced/separated","Guarantor","1 to < 4 years","Real estate",32,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Car (new)",1386,"500 to < 1000 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",26,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",24,"Existing credits paid back duly till now","Car (new)",947,"< 100 DM","4 to < 7 years","< 20%","Male single","None","4 to < 7 years","Unknown / no property",38,"Bank","For free","1","Skilled employee / official","3 or more","None","Yes","Bad",1
"< 0 DM",12,"Existing credits paid back duly till now","Education",684,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Car or other property",40,"None","Rent","1","Unskilled resident","3 or more","None","Yes","Bad",1
"< 0 DM",48,"Existing credits paid back duly till now","Education",7476,"< 100 DM","4 to < 7 years","< 20%","Male single","None","< 1 year","Unknown / no property",50,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Furniture / equipment",1922,"< 100 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",37,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"< 0 DM",24,"Existing credits paid back duly till now","Car (new)",2303,"< 100 DM",">= 7 years","< 20%","Male single","Co-applicant","< 1 year","Real estate",45,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",36,"Delay in paying off in the past","Car (new)",8086,"100 to < 500 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Car or other property",42,"None","Own",">= 6","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"No checking account",24,"Critical account / other credits existing","Car (used)",2346,"< 100 DM","4 to < 7 years","< 20%","Male single","None","4 to < 7 years","Car or other property",35,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",14,"Existing credits paid back duly till now","Car (new)",3973,"< 100 DM","Unemployed",">= 35% of disposable income","Male single","None",">= 7 years","Unknown / no property",22,"None","For free","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Car (new)",888,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",41,"Bank","Own","1","Unskilled resident","3 or more","None","Yes","Bad",1
"No checking account",48,"Existing credits paid back duly till now","Radio / television",10222,"Unknown / no savings account","4 to < 7 years","< 20%","Male single","None","4 to < 7 years","Car or other property",37,"Stores","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",30,"No credits taken / all credits paid back duly","Business",4221,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None","< 1 year","Car or other property",28,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",18,"Critical account / other credits existing","Furniture / equipment",6361,"< 100 DM",">= 7 years","25% to < 35%","Male single","None","< 1 year","Unknown / no property",41,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",12,"Existing credits paid back duly till now","Radio / television",1297,"< 100 DM","1 to < 4 years","20% to < 25%","Male married/widowed","None",">= 7 years","Real estate",23,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Existing credits paid back duly till now","Car (new)",900,"Unknown / no savings account","1 to < 4 years","< 20%","Male married/widowed","None","1 to < 4 years","Car or other property",23,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",21,"Existing credits paid back duly till now","Furniture / equipment",2241,"< 100 DM",">= 7 years","< 20%","Male single","None","1 to < 4 years","Real estate",50,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",6,"Delay in paying off in the past","Furniture / equipment",1050,"< 100 DM","Unemployed","< 20%","Male single","None","< 1 year","Building society savings / life insurance",35,"Stores","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",6,"Critical account / other credits existing","Education",1047,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",50,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",24,"Critical account / other credits existing","Others",6314,"< 100 DM","Unemployed","< 20%","Male single","Co-applicant","1 to < 4 years","Unknown / no property",27,"Bank","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",30,"All credits at this bank paid back duly","Furniture / equipment",3496,">= 1000 DM","1 to < 4 years","< 20%","Male single","None","1 to < 4 years","Car or other property",34,"Stores","Own","1","Skilled employee / official","3 or more","Yes","Yes","Good",0
"No checking account",48,"All credits at this bank paid back duly","Business",3609,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None","< 1 year","Real estate",27,"Stores","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Critical account / other credits existing","Car (new)",4843,"< 100 DM",">= 7 years","20% to < 25%","Male single","Co-applicant",">= 7 years","Building society savings / life insurance",43,"None","Rent","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",30,"Critical account / other credits existing","Radio / television",3017,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",47,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
